subject_id	O14625	O43508	P01133	P01579	P02778	P05112	P05231	P09603	P10145	P10147	P13232	P13236	P13500	P14210	P15692	P22301	P35225	P39900	P48061	P50591	P51671	P80075	P80098	Q07325	Q14116	Q99616	Q99731
61	507.47346	255.25853999999998	140.56055	0.22916	57.60491999999999	0.04845	0.98541	123.75998999999999	17.1014	12.84252	0.65781	60.438019999999995	214.22651000000002	85.82429	176.05106999999998	6.63797	0.03025	190.79013999999998	178.36652	255.51642999999999	191.87436	15.23686	2.13537	109.28743999999999	154.02999	144.83908	100.86731999999999
62	176.34156000000002	342.01427	118.15512	0.20615999999999998	44.16681	0.0088	0.5120899999999999	104.9395	2.7972	2.52618	0.43545	28.019170000000003	190.3947	112.33336000000001	167.06268	1.61784	0.04228	186.29201	420.07815	360.70484	189.43632	6.55029	0.84603	20.41694	154.10515	107.41611999999999	94.72261
63	268.2135	245.15329	155.99419	0.08553999999999999	34.72286	0.00772	0.2787	69.91051	4.30048	1.90976	0.88715	19.68157	130.38135	73.23686	88.45425	1.48389	0.12771	97.37101	174.16522	200.22555	171.79249	27.190820000000002	0.84678	33.14306	108.42327	235.02449	209.67096999999998
64	441.63617	363.83426000000003	295.2277	0.64985	58.846709999999995	0.00878	1.1461	115.56815	4.829269999999999	4.45097	0.94179	90.00912	356.53772999999995	101.9367	202.01856999999998	5.73663	0.14732	213.28319	171.04013999999998	489.06829000000005	318.19523	32.611309999999996	1.43	57.08486	156.50062	220.31805	78.39164
65	574.83313	410.9326	258.8427	0.21097	69.04288000000001	0.01197	2.1436900000000003	136.34448999999998	13.57019	11.365	0.73637	101.17537	322.56587	147.78026	225.298	7.099660000000001	0.34033	222.93512	177.75467	468.72045999999995	300.00562	63.21269	1.61659	56.20225	339.68834	624.0555400000001	169.17528000000001
66	174.1406	316.36127	368.91671	0.34091	83.19055999999999	0.0099	11.74543	119.57524	4.82335	5.8071	0.9112399999999999	67.96056	279.09629	150.1563	228.75457999999998	3.8909	0.36598	200.60332	188.82478	348.59387999999996	53.77182	52.94493000000001	0.70482	46.38606	240.91253999999998	93.28874	115.41953000000001
67	359.04305	292.12588999999997	82.56121	0.29844	79.99991	0.01601	4.4317400000000005	133.68368999999998	7.288710000000001	6.13319	0.98595	86.06234	245.05241	144.55705	241.62476	6.953710000000001	0.15850999999999998	160.87305	94.53291	356.18557999999996	201.20445	43.31539	4.30705	48.47396	291.67922999999996	287.39898999999997	64.25795
68	447.10809000000006	257.32728	82.61401	0.16093	91.50004	0.00916	2.2600599999999997	112.73342	14.73112	6.50128	0.4819	79.31719	338.83777000000003	230.85202	206.49011000000002	7.9252199999999995	0.03073	441.20201	135.45459	314.25903999999997	284.2402	29.922729999999998	7.344869999999999	66.22836	265.42014	606.31259	107.48543000000001
69	452.95417000000003	335.74874	140.60198	0.0636	83.89545	0.03707	2.0655900000000003	107.21363999999998	6.987439999999999	3.0741099999999997	0.73955	57.877990000000004	250.03884	123.61731	136.43209	3.7776	0.13235999999999998	214.79535	164.19256000000001	367.62368	266.45248	19.5947	1.68565	72.72014	228.1338	283.8233	95.59609
70	336.10168999999996	359.0826	93.7919	0.1762	55.67305	0.00998	1.7832	134.31066	5.14799	2.71405	0.61124	33.33512	326.47733999999997	121.58036000000001	159.0507	6.70154	0.159	130.99806	147.51899	499.90103	277.12934	41.22181	1.5203	34.587759999999996	195.93473	474.79616	69.45456999999999
